7zip	23.01+dfsg-11
libglib2.0-0t64	2.80.0-6ubuntu3.8
libglib2.0-0t64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglibmm-2.4-1t64	2.66.7-1build1
libglu1-mesa	9.0.2-1.1build1
libglvnd0	1.7.0-1build1
libglvnd0	1.7.0-1build1
libglx-mesa0	25.2.8-0ubuntu0.24.04.1
libglx-mesa0	25.2.8-0ubuntu0.24.04.1
libglx0	1.7.0-1build1
libglx0	1.7.0-1build1
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgnome-bluetooth-3.0-13	46.0-1ubuntu1
libgnome-desktop-3-20t64	44.0-5build2
libgnome-menu-3-0	3.36.0-1.1ubuntu3
libgnome-panel3	1:3.52.0-1ubuntu2
libgnomekbd-common	3.28.1-1build3
libgnomekbd8	3.28.1-1build3
libgnutls30t64	3.8.3-1.1ubuntu3.4
libgnutls30t64	3.8.3-1.1ubuntu3.4
libgoa-1.0-0b	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgomp1	14.2.0-4ubuntu2~24.04
libgomp1	14.2.0-4ubuntu2~24.04
libgpg-error-l10n	1.47-3build2.1
libgpg-error0	1.47-3build2.1
libgpg-error0	1.47-3build2.1
libgpgme11t64	1.18.0-4.1ubuntu4
libgpgmepp6t64	1.18.0-4.1ubuntu4
libgphoto2-6t64	2.5.31-2.1build2
libgphoto2-6t64	2.5.31-2.1build2
libgphoto2-l10n	2.5.31-2.1build2
libgphoto2-port12t64	2.5.31-2.1build2
libgphoto2-port12t64	2.5.31-2.1build2
libgpm2	1.20.7-11
libgpm2	1.20.7-11
libgprofng0	2.42-4ubuntu2.8
libgraphene-1.0-0	1.10.8-3build2
libgraphite2-3	1.3.14-2build1
libgraphite2-3	1.3.14-2build1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsm1	1.0.22-1build1
libgsm1	1.0.22-1build1
libgspell-1-2	1.12.2-1build4
libgspell-1-common	1.12.2-1build4
libgssapi-krb5-2	1.20.1-6ubuntu2.6
libgssapi-krb5-2	1.20.1-6ubuntu2.6
libgstreamer-gl1.0-0	1.24.2-1ubuntu0.3
libgstreamer-plugins-base1.0-0	1.24.2-1ubuntu0.3
libgstreamer-plugins-base1.0-0	1.24.2-1ubuntu0.3
libgstreamer-plugins-good1.0-0	1.24.2-1ubuntu1.2
libgstreamer-plugins-good1.0-0	1.24.2-1ubuntu1.2
libgstreamer1.0-0	1.24.2-1ubuntu0.1
libgstreamer1.0-0	1.24.2-1ubuntu0.1
libgtk-3-0t64	3.24.41-4ubuntu1.3
libgtk-3-0t64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-4-1	4.14.5+ds-0ubuntu0.7
libgtk-4-bin	4.14.5+ds-0ubuntu0.7
libgtk-4-common	4.14.5+ds-0ubuntu0.7
libgtk-4-media-gstreamer	4.14.5+ds-0ubuntu0.7
libgtk-layer-shell0	0.8.2-1build2
libgtk2.0-0t64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtkmm-3.0-1t64	3.24.9-1
libgtksourceview-4-0	4.8.4-5build4
libgtksourceview-4-common	4.8.4-5build4
libgtop-2.0-11	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgudev-1.0-0	1:238-5ubuntu1
libgudev-1.0-0	1:238-5ubuntu1
libgusb2	0.4.8-1build2
libgweather-4-0t64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libhandy-1-0	1.8.3-1build2
libharfbuzz-gobject0	8.3.0-2build2
libharfbuzz-icu0	8.3.0-2build2
libharfbuzz0b	8.3.0-2build2
libharfbuzz0b	8.3.0-2build2
libheif-plugin-aomdec	1.17.6-1ubuntu4.2
libheif-plugin-aomdec	1.17.6-1ubuntu4.2
libheif-plugin-aomenc	1.17.6-1ubuntu4.2
libheif-plugin-aomenc	1.17.6-1ubuntu4.2
libheif-plugin-libde265	1.17.6-1ubuntu4.2
libheif-plugin-libde265	1.17.6-1ubuntu4.2
libheif1	1.17.6-1ubuntu4.2
libheif1	1.17.6-1ubuntu4.2
libhogweed6t64	3.9.1-2.2build1.1
libhogweed6t64	3.9.1-2.2build1.1
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhunspell-1.7-0	1.7.2+really1.7.2-10build3
libhwasan0	14.2.0-4ubuntu2~24.04
libhwy1t64	1.0.7-8.1build1
libhyphen0	2.8.8-7build3
libibus-1.0-5	1.5.29-2
libibverbs1	50.0-2ubuntu0.2
libical3t64	3.0.17-1.1build3
libice6	2:1.0.10-1build3
libicu74	74.2-1ubuntu3.1
libicu74	74.2-1ubuntu3.1
libidn12	1.42-1build1
libidn2-0	2.3.7-2build1.1
libidn2-0	2.3.7-2build1.1
libido3-0.1-0	13.10.0+22.10.20221007-0ubuntu3
libiec61883-0	1.2.0-6build1
libiec61883-0	1.2.0-6build1
libieee1284-3t64	0.2.11-14.1build1
libigdgmm12	22.3.17+ds1-1
libigdgmm12	22.3.17+ds1-1
libijs-0.35	0.35-15.1build1
libimobiledevice6	1.3.0-8.1build3
libindicator3-7	16.10.0+18.04.20180321.1-0ubuntu8
libinih1	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.2
libinput10	1.25.0-1ubuntu3.2
libintl-perl	1.33-1build3
libintl-xs-perl	1.33-1build3
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libip4tc2	1.8.10-3ubuntu2
libip6tc2	1.8.10-3ubuntu2
libipc-system-simple-perl	1.30-2
libisl23	0.26-3build1.1
libisns0t64	0.101-0.3build3
libisofs6t64	1.5.6.pl01-1.1ubuntu2
libitm1	14.2.0-4ubuntu2~24.04
libjack-jackd2-0	1.9.21~dfsg-3ubuntu3
libjack-jackd2-0	1.9.21~dfsg-3ubuntu3
libjansson4	2.14-2build2
libjavascriptcoregtk-4.1-0	2.50.4-0ubuntu0.24.04.1
libjbig0	2.1-6.1ubuntu2
libjbig0	2.1-6.1ubuntu2
libjbig2dec0	0.20-1build3
libjcat1	0.2.0-2build3
libjpeg-turbo8	2.1.5-2ubuntu2
libjpeg-turbo8	2.1.5-2ubuntu2
libjpeg8	8c-2ubuntu11
libjpeg8	8c-2ubuntu11
libjq1	1.7.1-3ubuntu0.24.04.1
libjs-async	0.8.0-6
libjs-events	3.3.0+~3.0.0-3
libjs-inherits	2.0.4-6
libjs-is-typedarray	1.0.0-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-prettify	2015.12.04+dfsg-1.1
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sphinxdoc	7.2.6-6
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1
libjs-typedarray-to-buffer	4.0.0-2
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjs-util	0.12.5+~1.0.10-1
libjson-c5	0.17-1build1
libjson-glib-1.0-0	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjxl0.7	0.7.0-10.2ubuntu6.1
libk5crypto3	1.20.1-6ubuntu2.6
libk5crypto3	1.20.1-6ubuntu2.6
libkeybinder-3.0-0	0.3.2-1.1build2
libkeyutils1	1.6.3-3build1
libkeyutils1	1.6.3-3build1
libklibc	2.0.13-4ubuntu0.2
libkmod2	31+20240202-2ubuntu7.1
libkrb5-3	1.20.1-6ubuntu2.6
libkrb5-3	1.20.1-6ubuntu2.6
libkrb5support0	1.20.1-6ubuntu2.6
libkrb5support0	1.20.1-6ubuntu2.6
libksba8	1.6.6-1build1
liblangtag-common	0.6.7-1build2
liblangtag1	0.6.7-1build2
liblcms2-2	2.14-2build1
liblcms2-2	2.14-2build1
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2	2.6.10+dfsg-0ubuntu0.24.04.1
libldb2	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.4
liblerc4	4.0.0+ds-4ubuntu2
liblightdm-gobject-1-0	1.30.0-0ubuntu14
libllvm18	1:18.1.3-1ubuntu1
libllvm20	1:20.1.2-0ubuntu1~24.04.2
libllvm20	1:20.1.2-0ubuntu1~24.04.2
liblmdb0	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblouis-data	3.29.0-1build1
liblouis20	3.29.0-1build1
liblouisutdml-bin	2.12.0-3.1build1
liblouisutdml-data	2.12.0-3.1build1
liblouisutdml9t64	2.12.0-3.1build1
liblsan0	14.2.0-4ubuntu2~24.04
libltdl7	2.4.7-7build1
libltdl7	2.4.7-7build1
liblvm2cmd2.03	2.03.16-3ubuntu3.2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1	1.9.4-1build1.1
liblz4-1	1.9.4-1build1.1
liblzma5	5.6.1+really5.4.5-1ubuntu0.2
liblzma5	5.6.1+really5.4.5-1ubuntu0.2
liblzo2-2	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64	1:5.45-3build1
libmailtools-perl	2.21-2
libmanette-0.2-0	0.2.7-1build2
libmaxminddb0	1.9.1-1build1
libmbim-glib4	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd0	1.1.0-2build1.1
libmd0	1.1.0-2build1.1
libmessaging-menu0	23.10.0-1build3
libmhash2	0.9.9.9-9build3
libmm-glib0	1.23.4-0ubuntu2
libmnl0	1.0.5-2build1
libmodule-find-perl	0.16-2
libmodule-scandeps-perl	1.35-1ubuntu0.24.04.1
libmount1	2.39.3-9ubuntu6.4
libmount1	2.39.3-9ubuntu6.4
libmousepad0	0.6.1-1build2
libmp3lame0	3.100-6build1
libmp3lame0	3.100-6build1
libmpc3	1.3.1-1build1.1
libmpfr6	4.2.1-1build1.1
libmpg123-0t64	1.32.5-1ubuntu1.1
libmpg123-0t64	1.32.5-1ubuntu1.1
libmsgraph-0-1	0.2.1-0ubuntu3
libmspack0t64	0.11-1.1build1
libmspub-0.1-1	0.1.4-3build7
libmtdev1t64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1build1
libmtp-runtime	1.1.21-3.1build1
libmtp9t64	1.1.21-3.1build1
libmwaw-0.3-3	0.3.22-1build1
libmythes-1.2-0	2:1.2.5-1build1
libncurses6	6.4+20240113-1ubuntu2
libncurses6	6.4+20240113-1ubuntu2
libncursesw6	6.4+20240113-1ubuntu2
libncursesw6	6.4+20240113-1ubuntu2
libndp0	1.8-1fakesync1ubuntu0.24.04.1
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl	1.94-1build4
libnetfilter-conntrack3	1.0.9-6build1
libnetplan1	1.1.2-8ubuntu1~24.04.1
libnettle8t64	3.9.1-2.2build1.1
libnettle8t64	3.9.1-2.2build1.1
libnewt0.52	0.52.24-2ubuntu2
libnfnetlink0	1.0.2-2build1
libnfs14	5.0.2-1build1
libnftables1	1.0.9-1build1
libnftnl11	1.2.6-2build1
libnghttp2-14	1.59.0-1ubuntu0.2
libnghttp2-14	1.59.0-1ubuntu0.2
libnl-3-200	3.7.0-0.3build1.1
libnl-genl-3-200	3.7.0-0.3build1.1
libnl-route-3-200	3.7.0-0.3build1.1
libnm0	1.46.0-1ubuntu2.5
libnma-common	1.10.6-3build2
libnma0	1.10.6-3build2
libnode-dev	18.19.1+dfsg-6ubuntu5
libnode109	18.19.1+dfsg-6ubuntu5
libnotify-bin	0.8.3-1build2
libnotify4	0.8.3-1build2
libnpth0t64	1.6-3.1build1
libnspr4	2:4.35-1.1build1
libnss-mdns	0.15.1-4build1
libnss-systemd	255.4-1ubuntu8.12
libnss3	2:3.98-1build1
libntfs-3g89t64	1:2022.10.3-1.2ubuntu3
libnuma1	2.0.18-1ubuntu0.24.04.1
libnuma1	2.0.18-1ubuntu0.24.04.1
libnvme1t64	1.8-3ubuntu1
libodbc2	2.3.12-1ubuntu0.24.04.1
libodbc2	2.3.12-1ubuntu0.24.04.1
libodfgen-0.1-1	0.1.8-2build3
libogg0	1.3.5-3build1
libogg0	1.3.5-3build1
libonig5	6.9.9-1build1
libopengl0	1.7.0-1build1
libopeniscsiusr	2.1.9-3ubuntu5.4
libopenjp2-7	2.5.0-2ubuntu0.4
libopenjp2-7	2.5.0-2ubuntu0.4
libopus0	1.4-1build1
libopus0	1.4-1build1
liborc-0.4-0t64	1:0.4.38-1ubuntu0.1
liborc-0.4-0t64	1:0.4.38-1ubuntu0.1
liborcus-0.18-0	0.19.2-3build3
liborcus-parser-0.18-0	0.19.2-3build3
libosmesa6	25.1.7-1ubuntu2~24.04.1
libp11-kit0	0.25.3-4ubuntu2.1
libp11-kit0	0.25.3-4ubuntu2.1
libpackagekit-glib2-18	1.2.8-2ubuntu1.4
libpagemaker-0.0-0	0.0.4-1build4
libpam-cap	1:2.66-5ubuntu2.2
libpam-gnome-keyring	46.1-2build1
libpam-modules	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam-systemd	255.4-1ubuntu8.12
libpam0g	1.5.3-5ubuntu5.5
libpango-1.0-0	1.52.1+ds-1build1
libpango-1.0-0	1.52.1+ds-1build1
libpangocairo-1.0-0	1.52.1+ds-1build1
libpangocairo-1.0-0	1.52.1+ds-1build1
libpangoft2-1.0-0	1.52.1+ds-1build1
libpangoft2-1.0-0	1.52.1+ds-1build1
libpangomm-1.4-1v5	2.46.4-1build3
libpangoxft-1.0-0	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1	1.1.29build1
libparted2t64	3.6-4build1
libpcap0.8t64	1.10.4-4.1ubuntu3
libpcap0.8t64	1.10.4-4.1ubuntu3
libpci3	1:3.10.0-2build1
libpciaccess0	0.17-3ubuntu0.24.04.2
libpciaccess0	0.17-3ubuntu0.24.04.2
libpcre2-8-0	10.42-4ubuntu2.1
libpcre2-8-0	10.42-4ubuntu2.1
libpcsclite1	2.0.3-1build1
libpcsclite1	2.0.3-1build1
libperl5.38t64	5.38.2-3.2ubuntu0.2
libphonenumber8	8.12.57+ds-4.2build3
libpipeline1	1.5.7-2
libpipewire-0.3-0t64	1.0.5-1ubuntu3.2
libpipewire-0.3-common	1.0.5-1ubuntu3.2
libpipewire-0.3-modules-xrdp	0.2-2
libpixman-1-0	0.42.2-1build1
libpixman-1-0	0.42.2-1build1
libplist-2.0-4	2.3.0-1~exp2build2
libplymouth5	24.004.60-1ubuntu7.1
libpng16-16t64	1.6.43-5ubuntu0.5
libpng16-16t64	1.6.43-5ubuntu0.5
libpolkit-agent-1-0	124-2ubuntu1.24.04.2
libpolkit-gobject-1-0	124-2ubuntu1.24.04.2
libpoppler-cpp0t64	24.02.0-1ubuntu9.8
libpoppler-glib8t64	24.02.0-1ubuntu9.8
libpoppler134	24.02.0-1ubuntu9.8
libpopt0	1.19+dfsg-1build1
libppd2	2:2.0.0-0ubuntu4.1
libppd2-common	2:2.0.0-0ubuntu4.1
libproc-processtable-perl	0.636-1build3
libproc2-0	2:4.0.4-4ubuntu3.2
libprotobuf-c1	1.4.1-1ubuntu4
libprotobuf32t64	3.21.12-8.2ubuntu0.2
libproxy1v5	0.5.4-4build1
libproxy1v5	0.5.4-4build1
libpsl5t64	0.21.2-1.1build1
libpsl5t64	0.21.2-1.1build1
libpulse-mainloop-glib0	1:16.1+dfsg1-2ubuntu10.1
libpulse0	1:16.1+dfsg1-2ubuntu10.1
libpulse0	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality1	1.4.5-3build1
libpython3-dev	3.12.3-0ubuntu2.1
libpython3-stdlib	3.12.3-0ubuntu2.1
libpython3.12-dev	3.12.3-1ubuntu0.11
libpython3.12-minimal	3.12.3-1ubuntu0.11
libpython3.12-stdlib	3.12.3-1ubuntu0.11
libpython3.12t64	3.12.3-1ubuntu0.11
libqmi-glib5	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqpdf29t64	11.9.0-1.1ubuntu0.1
libqrencode4	4.1.1-1build2
libqrtr-glib0	1.2.2-1ubuntu4
libquadmath0	14.2.0-4ubuntu2~24.04
libraptor2-0	2.0.16-3ubuntu0.1
librasqal3t64	0.9.33-2.1build1
librav1e0	0.7.1-2
libraw1394-11	2.1.2-2build3
libraw1394-11	2.1.2-2build3
librdf0t64	1.0.17-3.1ubuntu3
libre2-10	20230301-3build1
libreadline8t64	8.2-4build1
libreiserfscore0t64	1:3.6.27-7.1build1
libreoffice-base-core	4:24.2.7-0ubuntu0.24.04.4
libreoffice-calc	4:24.2.7-0ubuntu0.24.04.4
libreoffice-common	4:24.2.7-0ubuntu0.24.04.4
libreoffice-core	4:24.2.7-0ubuntu0.24.04.4
libreoffice-draw	4:24.2.7-0ubuntu0.24.04.4
libreoffice-impress	4:24.2.7-0ubuntu0.24.04.4
libreoffice-math	4:24.2.7-0ubuntu0.24.04.4
libreoffice-style-colibre	4:24.2.7-0ubuntu0.24.04.4
libreoffice-uiconfig-calc	4:24.2.7-0ubuntu0.24.04.4
libreoffice-uiconfig-common	4:24.2.7-0ubuntu0.24.04.4
libreoffice-uiconfig-draw	4:24.2.7-0ubuntu0.24.04.4
libreoffice-uiconfig-impress	4:24.2.7-0ubuntu0.24.04.4
libreoffice-uiconfig-math	4:24.2.7-0ubuntu0.24.04.4
libreoffice-uiconfig-writer	4:24.2.7-0ubuntu0.24.04.4
libreoffice-writer	4:24.2.7-0ubuntu0.24.04.4
librevenge-0.0-0	0.0.5-3build1
librsvg2-2	2.58.0+dfsg-1build1
librsvg2-2	2.58.0+dfsg-1build1
librsvg2-common	2.58.0+dfsg-1build1
librsvg2-common	2.58.0+dfsg-1build1
librtmp1	2.4+20151223.gitfa8646d.1-2build7
librtmp1	2.4+20151223.gitfa8646d.1-2build7
libsamplerate0	0.2.2-4build1
libsamplerate0	0.2.2-4build1
libsane-common	1.2.1-7build4
libsane1	1.2.1-7build4
libsasl2-2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db	2.1.28+dfsg1-5ubuntu3.1
libsdl2-2.0-0	2.30.0+dfsg-1ubuntu3.1
libsdl2-2.0-0	2.30.0+dfsg-1ubuntu3.1
libseccomp2	2.5.5-1ubuntu3.1
libsecret-1-0	0.21.4-1build3
libsecret-common	0.21.4-1build3
libselinux1	3.5-2ubuntu2.1
libselinux1	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5	1:3.6.0-9build1
libsensors5	1:3.6.0-9build1
libsepol2	3.5-2build1
libsframe1	2.42-4ubuntu2.8
libsgutils2-1.46-2	1.46-3ubuntu4
libsharpyuv0	1.3.2-0.4build3
libsharpyuv0	1.3.2-0.4build3
libshine3	3.1.1-2build1
libshine3	3.1.1-2build1
libshout3	2.4.6-1build2
libshout3	2.4.6-1build2
libsigc++-2.0-0v5	2.12.1-2
libsigsegv2	2.14-1ubuntu2
libslang2	2.3.3-3build2
libslang2	2.3.3-3build2
libslirp0	4.7.0-1ubuntu3
libsm6	2:1.2.3-1build3
libsmartcols1	2.39.3-9ubuntu6.4
libsmbclient0	2:4.19.5+dfsg-4ubuntu9.4
libsnapd-glib-2-1	1.64-0ubuntu5
libsnappy1v5	1.1.10-1build1
libsnappy1v5	1.1.10-1build1
libsndfile1	1.2.2-1ubuntu5.24.04.1
libsndfile1	1.2.2-1ubuntu5.24.04.1
libsnmp-base	5.9.4+dfsg-1.1ubuntu3.2
libsnmp40t64	5.9.4+dfsg-1.1ubuntu3.2
libsodium23	1.0.18-1ubuntu0.24.04.1
libsort-naturally-perl	1.03-4
libsoup-2.4-1	2.74.3-6ubuntu1.6
libsoup-3.0-0	3.4.4-5ubuntu0.7
libsoup-3.0-0	3.4.4-5ubuntu0.7
libsoup-3.0-common	3.4.4-5ubuntu0.7
libsoup2.4-common	2.74.3-6ubuntu1.6
libsoxr0	0.1.3-4build3
libsoxr0	0.1.3-4build3
libspa-0.2-modules	1.0.5-1ubuntu3.2
libspeex1	1.2.1-2ubuntu2.24.04.1
libspeex1	1.2.1-2ubuntu2.24.04.1
libspeexdsp1	1.2.1-1ubuntu3
libspeexdsp1	1.2.1-1ubuntu3
libsqlite3-0	3.45.1-1ubuntu2.5
libsqlite3-0	3.45.1-1ubuntu2.5
libss2	1.47.0-2.4~exp1ubuntu4.1
libssh-4	0.10.6-2ubuntu0.2
libssh-4	0.10.6-2ubuntu0.2
libssl-dev	3.0.13-0ubuntu3.7
libssl3t64	3.0.13-0ubuntu3.7
libssl3t64	3.0.13-0ubuntu3.7
libstartup-notification0	0.12-6build3
libstdc++-13-dev	13.3.0-6ubuntu2~24.04
libstdc++6	14.2.0-4ubuntu2~24.04
libstdc++6	14.2.0-4ubuntu2~24.04
libstemmer0d	2.2.0-4build1
libsuitesparseconfig7	1:7.6.1+dfsg-1build1
libsvtav1enc1d1	1.7.0+dfsg-2build1
libsvtav1enc1d1	1.7.0+dfsg-2build1
libswresample4	7:6.1.1-3ubuntu5
libswresample4	7:6.1.1-3ubuntu5
libsystemd-shared	255.4-1ubuntu8.12
libsystemd0	255.4-1ubuntu8.12
libsystemd0	255.4-1ubuntu8.12
libtag1v5	1.13.1-1build1
libtag1v5	1.13.1-1build1
libtag1v5-vanilla	1.13.1-1build1
libtag1v5-vanilla	1.13.1-1build1
libtagc0	1.13.1-1build1
libtalloc2	2.4.2-1build2
libtasn1-6	4.19.0-3ubuntu0.24.04.2
libtasn1-6	4.19.0-3ubuntu0.24.04.2
libtcl8.6	8.6.14+dfsg-1build1
libtdb1	1.4.10-1build1
libteamdctl0	1.31-1build3
libterm-readkey-perl	2.38-2build4
libtevent0t64	0.16.1-2build1
libtext-charwidth-perl	0.04-11build3
libtext-iconv-perl	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0	0.1.29-2build1
libthai0	0.1.29-2build1
libtheora0	1.1.1+dfsg.1-16.1build3
libtheora0	1.1.1+dfsg.1-16.1build3
libthunarx-3-0	4.18.8-1build3
libtie-ixhash-perl	1.23-4
libtiff6	4.5.1+git230720-4ubuntu2.4
libtiff6	4.5.1+git230720-4ubuntu2.4
libtimedate-perl	2.3300-2
libtimezonemap-data	0.4.6-6ubuntu1
libtimezonemap1	0.4.6-6ubuntu1
libtinfo6	6.4+20240113-1ubuntu2
libtinfo6	6.4+20240113-1ubuntu2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64	1.3.4+ds-1.1build1
libtraceevent1	1:1.8.2-1ubuntu2.1
libtraceevent1-plugin	1:1.8.2-1ubuntu2.1
libtracefs1	1.8.0-1ubuntu1
libtry-tiny-perl	0.31-2
libtsan2	14.2.0-4ubuntu2~24.04
libtss2-esys-3.0.2-0t64	4.0.1-7.1ubuntu5.1
libtss2-mu-4.0.1-0t64	4.0.1-7.1ubuntu5.1
libtss2-sys1t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-cmd0t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-device0t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-mssim0t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-swtpm0t64	4.0.1-7.1ubuntu5.1
libtumbler-1-0t64	4.18.1-1.1build4
libtwolame0	0.4.0-2build3
libtwolame0	0.4.0-2build3
libubsan1	14.2.0-4ubuntu2~24.04
libuchardet0	0.0.8-1build1
libudev1	255.4-1ubuntu8.12
libudev1	255.4-1ubuntu8.12
libudisks2-0	2.10.1-6ubuntu1.3
libunistring5	1.1-2build1.1
libunistring5	1.1-2build1.1
libunity-control-center1	15.04.0+23.04.20230220-0ubuntu8
libunity-gtk2-parser0	0.0.0+18.04.20171202-0ubuntu7
libunity-gtk3-parser0	0.0.0+18.04.20171202-0ubuntu7
libunity-settings-daemon1	15.04.1+21.10.20220802-0ubuntu5
libuno-cppu3t64	4:24.2.7-0ubuntu0.24.04.4
libuno-cppuhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.4
libuno-purpenvhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.4
libuno-sal3t64	4:24.2.7-0ubuntu0.24.04.4
libuno-salhelpergcc3-3t64	4:24.2.7-0ubuntu0.24.04.4
libunwind8	1.6.2-3build1.1
libunwind8	1.6.2-3build1.1
libupower-glib3	1.90.3-1
liburcu8t64	0.14.0-3.1build1
liburi-perl	5.27-1
liburing2	2.5-1build1
libusb-1.0-0	2:1.0.27-1
libusb-1.0-0	2:1.0.27-1
libusbmuxd6	2.0.2-4build3
libutempter0	1.2.1-3build1
libuuid1	2.39.3-9ubuntu6.4
libuv1-dev	1.48.0-1.1build1
libuv1t64	1.48.0-1.1build1
libv4l-0t64	1.26.1-4build3
libv4l-0t64	1.26.1-4build3
libv4lconvert0t64	1.26.1-4build3
libv4lconvert0t64	1.26.1-4build3
libva-drm2	2.20.0-2ubuntu0.1
libva-drm2	2.20.0-2ubuntu0.1
libva-x11-2	2.20.0-2ubuntu0.1
libva-x11-2	2.20.0-2ubuntu0.1
libva2	2.20.0-2ubuntu0.1
libva2	2.20.0-2ubuntu0.1
libvdpau1	1.5-2build1
libvdpau1	1.5-2build1
libvisio-0.1-1	0.1.7-1build9
libvisual-0.4-0	0.4.2-2build1
libvisual-0.4-0	0.4.2-2build1
libvolume-key1	0.3.12-7build2
libvorbis0a	1.3.7-1build3
libvorbis0a	1.3.7-1build3
libvorbisenc2	1.3.7-1build3
libvorbisenc2	1.3.7-1build3
libvorbisfile3	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9	1.14.0-1ubuntu2.2
libvpx9	1.14.0-1ubuntu2.2
libvte-2.91-0	0.76.0-1ubuntu0.1
libvte-2.91-common	0.76.0-1ubuntu0.1
libvulkan1	1.3.275.0-1build1
libvulkan1	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9	2.10.0-2
libwavpack1	5.6.0-1build1
libwavpack1	5.6.0-1build1
libwayland-client0	1.22.0-2.1build1
libwayland-client0	1.22.0-2.1build1
libwayland-cursor0	1.22.0-2.1build1
libwayland-cursor0	1.22.0-2.1build1
libwayland-egl1	1.22.0-2.1build1
libwayland-egl1	1.22.0-2.1build1
libwayland-server0	1.22.0-2.1build1
libwbclient0	2:4.19.5+dfsg-4ubuntu9.4
libwebkit2gtk-4.1-0	2.50.4-0ubuntu0.24.04.1
libwebp7	1.3.2-0.4build3
libwebp7	1.3.2-0.4build3
libwebpdemux2	1.3.2-0.4build3
libwebpmux3	1.3.2-0.4build3
libwebpmux3	1.3.2-0.4build3
